"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Lady_Hester_Stanhope","Lady Hester Stanhope",1776
"http://dbpedia.org/resource/William_Gell","William Gell",1777
"http://dbpedia.org/resource/Johann_Michael_Ackner","Johann Michael Ackner",1782
"http://dbpedia.org/resource/Friedrich_Gottlieb_Welcker","Friedrich Gottlieb Welcker",1784
"http://dbpedia.org/resource/Christian_Jürgensen_Thomsen","Christian Jürgensen Thomsen",1788
"http://dbpedia.org/resource/Jacques_Boucher_de_Crèvecœur_de_Perthes","Jacques Boucher de Crèvecœur de Perthes",1788
"http://dbpedia.org/resource/Jean-François_Champollion","Jean-François Champollion",1790
"http://dbpedia.org/resource/Philippe-Charles_Schmerling","Philippe-Charles Schmerling",1791
"http://dbpedia.org/resource/Luigi_Canina","Luigi Canina",1795
"http://dbpedia.org/resource/John_MacEnery","John MacEnery",1797
"http://dbpedia.org/resource/Charles_Fellows","Charles Fellows",1799
"http://dbpedia.org/resource/Prosper_Mérimée","Prosper Mérimée",1803
"http://dbpedia.org/resource/Joseph_George_Cumming","Joseph George Cumming",1812
"http://dbpedia.org/resource/Ernst_Curtius","Ernst Curtius",1814
"http://dbpedia.org/resource/Alexander_Cunningham","Alexander Cunningham",1814
"http://dbpedia.org/resource/Andrew_Ramsay_(geologist)","Andrew Ramsay (geologist)",1814
"http://dbpedia.org/resource/Charles_Thomas_Newton","Charles Thomas Newton",1816
"http://dbpedia.org/resource/Austen_Henry_Layard","Austen Henry Layard",1817
"http://dbpedia.org/resource/William_Greenwell","William Greenwell",1820
"http://dbpedia.org/resource/Jens_Jacob_Asmussen_Worsaae","Jens Jacob Asmussen Worsaae",1821
"http://dbpedia.org/resource/Heinrich_Schliemann","Heinrich Schliemann",1822
"http://dbpedia.org/resource/John_Evans_(archaeologist)","John Evans (archaeologist)",1823
"http://dbpedia.org/resource/Augustus_Le_Plongeon","Augustus Le Plongeon",1825
"http://dbpedia.org/resource/Augustus_Pitt_Rivers","Augustus Pitt Rivers",1827
"http://dbpedia.org/resource/Amelia_Edwards","Amelia Edwards",1831
"http://dbpedia.org/resource/Alexandru_Odobescu","Alexandru Odobescu",1834
"http://dbpedia.org/resource/John_Lubbock,_1st_Baron_Avebury","John Lubbock, 1st Baron Avebury",1834
"http://dbpedia.org/resource/William_Thompson_Watkin","William Thompson Watkin",1836
"http://dbpedia.org/resource/François_Lenormant","François Lenormant",1837
"http://dbpedia.org/resource/William_Boyd_Dawkins","William Boyd Dawkins",1837
"http://dbpedia.org/resource/Osman_Hamdi_Bey","Osman Hamdi Bey",1842
"http://dbpedia.org/resource/Clarence_Bicknell","Clarence Bicknell",1842
"http://dbpedia.org/resource/Oscar_Montelius","Oscar Montelius",1843
"http://dbpedia.org/resource/William_Robertson_Smith","William Robertson Smith",1846
"http://dbpedia.org/resource/Percy_Gardner","Percy Gardner",1846
"http://dbpedia.org/resource/Gaston_Maspero","Gaston Maspero",1846
"http://dbpedia.org/resource/Adela_Breton","Adela Breton",1849
"http://dbpedia.org/resource/Grigore_Tocilescu","Grigore Tocilescu",1850
"http://dbpedia.org/resource/Harry_Charles_Purvis_Bell","Harry Charles Purvis Bell",1851
"http://dbpedia.org/resource/Arthur_Evans","Arthur Evans",1851
"http://dbpedia.org/resource/William_Mitchell_Ramsay","William Mitchell Ramsay",1851
"http://dbpedia.org/resource/Clarence_Bloomfield_Moore","Clarence Bloomfield Moore",1852
"http://dbpedia.org/resource/James_Theodore_Bent","James Theodore Bent",1852
"http://dbpedia.org/resource/Wilhelm_Dörpfeld","Wilhelm Dörpfeld",1853
"http://dbpedia.org/resource/Robert_Koldewey","Robert Koldewey",1855
"http://dbpedia.org/resource/Gustaf_Kossinna","Gustaf Kossinna",1858
"http://dbpedia.org/resource/Francis_Kelsey","Francis Kelsey",1858
"http://dbpedia.org/resource/Victor_Loret","Victor Loret",1859
"http://dbpedia.org/resource/Giacomo_Boni_(archaeologist)","Giacomo Boni (archaeologist)",1859
"http://dbpedia.org/resource/Ludwig_Borchardt","Ludwig Borchardt",1863
"http://dbpedia.org/resource/Margaret_Murray","Margaret Murray",1863
"http://dbpedia.org/resource/John_Wesley_Gilbert","John Wesley Gilbert",1863
"http://dbpedia.org/resource/Edgar_Lee_Hewett","Edgar Lee Hewett",1865
"http://dbpedia.org/resource/James_Henry_Breasted","James Henry Breasted",1865
"http://dbpedia.org/resource/Warren_K._Moorehead","Warren K. Moorehead",1866
"http://dbpedia.org/resource/Katherine_Routledge","Katherine Routledge",1866
"http://dbpedia.org/resource/Gertrude_Bell","Gertrude Bell",1868
"http://dbpedia.org/resource/Albert_Lythgoe","Albert Lythgoe",1868
"http://dbpedia.org/resource/Maud_Cunnington","Maud Cunnington",1869
"http://dbpedia.org/resource/Campbell_Cowan_Edgar","Campbell Cowan Edgar",1870
"http://dbpedia.org/resource/Grafton_Elliot_Smith","Grafton Elliot Smith",1871
"http://dbpedia.org/resource/Harriet_Boyd_Hawes","Harriet Boyd Hawes",1871
"http://dbpedia.org/resource/Bert_Hodge_Hill","Bert Hodge Hill",1874
"http://dbpedia.org/resource/Johan_Gunnar_Andersson","Johan Gunnar Andersson",1874
"http://dbpedia.org/resource/George_Henry_Chase","George Henry Chase",1874
"http://dbpedia.org/resource/Hiram_Bingham_III","Hiram Bingham III",1875
"http://dbpedia.org/resource/Ida_Hill","Ida Hill",1875
"http://dbpedia.org/resource/John_Garstang","John Garstang",1876
"http://dbpedia.org/resource/John_Marshall_(archaeologist)","John Marshall (archaeologist)",1876
"http://dbpedia.org/resource/Edward_Thurlow_Leeds","Edward Thurlow Leeds",1877
"http://dbpedia.org/resource/Julio_C._Tello","Julio C. Tello",1880
"http://dbpedia.org/resource/Leonard_Woolley","Leonard Woolley",1880
"http://dbpedia.org/resource/Vasile_Pârvan","Vasile Pârvan",1882
"http://dbpedia.org/resource/Cyril_Fox","Cyril Fox",1882
"http://dbpedia.org/resource/Jadwiga_Szeptycka","Jadwiga Szeptycka",1883
"http://dbpedia.org/resource/Alice_Leslie_Walker","Alice Leslie Walker",1885
