"organisation","label","types","fk_sparql_query","metadata"
"http://dbpedia.org/resource/University_of_Tehran","University of Tehran","almaMater,institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Boston_University","Boston University","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Haifa","University of Haifa","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Stellenbosch_University","Stellenbosch University","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Cambridge","University of Cambridge","almaMater,institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Glasgow","University of Glasgow","almaMater,institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Shiraz_University","Shiraz University","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/George_Washington_University","George Washington University","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Texas_Tech_University","Texas Tech University","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Tasmania","University of Tasmania","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Human_Relations_Area_Files","Human Relations Area Files","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Yale_University","Yale University","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Australia","Australia","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Cambridge","Cambridge","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Adelaide","University of Adelaide","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Jesus_College,_Oxford","Jesus College, Oxford","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Milan","University of Milan","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Ipswich_Grammar_School","Ipswich Grammar School","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Paris","University of Paris","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/East_China_Normal_University","East China Normal University","almaMater",4,"Importation 7 decembre 2025"
